"Accounting Date","Inventory Reference","Inventories/Location","Inventories / Product","Inventories / ProductName","Inventories / Counted Quantity"
"2021-10-01","beginning balance","WH/BASE OPEN YARD","CASING 9.5/8IN,5CT,L80,SML,HSLABXP,43.50,R3 (EX USED)","CASING 9.5/8IN,5CT,L80,SML,HSLABXP,43.50,R3 (EX USED)",10
,,"WH/BASE OPEN YARD","CASING 9.5/8IN,5CT,L80,SML,HSLABXP,43.50,R3 (GOOD)","CASING 9.5/8IN,5CT,L80,SML,HSLABXP,43.50,R3 (GOOD)",5
,,"WH/BASE OPEN YARD","PUP JOINT  9- 5/8"", 47PPF, L80, BC, 15FT MJM API SCT 0700 710 9 5/8 47 PPF BC PIN X BOX. S/N : LGE 081 (GOOD)","PUP JOINT  9- 5/8"", 47PPF, L80, BC, 15FT MJM API SCT 0700 710 9 5/8 47 PPF BC PIN X BOX. S/N : LGE 081 (GOOD)",1
,,"WH/BASE OPEN YARD","PUP JOINT CASING 9- 5/8"", 47PPF, L80, BC, 10FT, MJM API SCT 0700 710 9- 5/8 47 PPF BC PIN X BOX. S/N : LGE 082 (GOOD)","PUP JOINT CASING 9- 5/8"", 47PPF, L80, BC, 10FT, MJM API SCT 0700 710 9- 5/8 47 PPF BC PIN X BOX. S/N : LGE 082 (GOOD)",1
,,"WH/BASE OPEN YARD","PUP JOINT, 9 5/8, 47 PPF, BC PIN X BOX, 6FT                                                                              S/N LGE 083 (GOOD)","PUP JOINT, 9 5/8, 47 PPF, BC PIN X BOX, 6FT                                                                              S/N LGE 083 (GOOD)",1
,,"WH/BASE OPEN YARD","PUP JOINT 9-5/8"", 43.50#,L80 10FT NXPHSLA
BECOME CROSSOVER CASING 9- 5/8"" NXPHSLA PIN X BC BOX MARKING (GOOD)","PUP JOINT 9-5/8"", 43.50#,L80 10FT NXPHSLA
BECOME CROSSOVER CASING 9- 5/8"" NXPHSLA PIN X BC BOX MARKING (GOOD)",1
,,"WH/BASE CLOSE YARD","12-1/4 INCH RC 137 STEEL TOOTH. ROCK BIT W/6-5/8 REG API SHANK STD: JF J. IADC CODE 117. SN 5237183 (EX USED)","12-1/4 INCH RC 137 STEEL TOOTH. ROCK BIT W/6-5/8 REG API SHANK STD: JF J. IADC CODE 117. SN 5237183 (EX USED)",1
,,"WH/BASE CLOSE YARD","6-1/8 INCH RC217 STEEL TOOTH. ROCK BIT W/ 3-1/2 REG API SHANK. STD: JF J. IADC CODE 216. SN Z321UT (GOOD)","6-1/8 INCH RC217 STEEL TOOTH. ROCK BIT W/ 3-1/2 REG API SHANK. STD: JF J. IADC CODE 216. SN Z321UT (GOOD)",1
,,"WH/BASE CLOSE YARD","ROCK BIT SMITH ST SIZE 26"" MR 0055 DSJ 26 (EX USED)","ROCK BIT SMITH ST SIZE 26"" MR 0055 DSJ 26 (EX USED)",1
,,"WH/BASE CLOSE YARD","6-1/8 INCH RC217 STEEL TOOTH ROCK BIT W/ 3-1/2 REG API SHANK
STD"" JF J IADC CODE 216 INSTALLED NOZZLE : 3XFF20 SERIAL NO. 5313619 (GOOD)","6-1/8 INCH RC217 STEEL TOOTH ROCK BIT W/ 3-1/2 REG API SHANK
STD"" JF J IADC CODE 216 INSTALLED NOZZLE : 3XFF20 SERIAL NO. 5313619 (GOOD)",1
,,"WH/BASE CLOSE YARD","DRILL BIT 17-1/2"" IADC435, MX-09H, BAKER MN.350435174420 (EX USED)","DRILL BIT 17-1/2"" IADC435, MX-09H, BAKER MN.350435174420 (EX USED)",2
,,"WH/BASE OPEN YARD","CASING 30,5L,X56M, JVDD2SX7BXP,310,R3 (GOOD)","CASING 30,5L,X56M, JVDD2SX7BXP,310,R3 (GOOD)",3
,,"WH/BASE OPEN YARD","CASING, OCTG,30LN,310 PPF, X56M, SAW, 5L, PREM (GOOD)","CASING, OCTG,30LN,310 PPF, X56M, SAW, 5L, PREM (GOOD)",6
